ano_mes,id_curso,tx_nome_curso,count
2025-05,956,Inovando na Gestão de Projetos,93
2025-05,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,52
2025-05,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,60
2025-05,1088,A História da IA,248
2025-05,1090,Ética em IA,381
2025-05,1091,Inteligência Artificial Generativa,374
2025-05,1139,Colaboração com o Microsoft 365,122
2025-05,1153,Fundamentos da Segurança Cibernética - Introdução ao CIS Controls,48
2025-05,1167,IA Generativo da Microsoft - Copilot,293
2025-05,1263,Governo Data-Driven: transformação orientada por dados em governos,133
2025-05,1304,Visão Geral da IA no Azure,14
2025-05,1305,Fundamentos da Visão Computacional - IA do Azure,17
2025-05,1328,Processamento de Linguagem Natural,24
2025-06,107,Planejamento Estratégico para Organizações Públicas,226
2025-06,153,Introdução à Lei Brasileira de Proteção de Dados Pessoais,566
2025-06,270,Governança de Dados,73
2025-06,290,Proteção de Dados Pessoais no Setor Público,157
2025-06,343,Planejamento da Contratação de Soluções de TIC,16
2025-06,367,Novas Tecnologias para a Transformação Digital,137
2025-06,373,Liderança e Gestão De Equipes,386
2025-06,377,Inteligência Artificial no Contexto do Serviço Público,462
2025-06,406,Análise de dados como suporte à tomada de decisão,167
2025-06,419,Transformação Digital no Serviço Público,64
2025-06,529,"Como implementar a LGPD: bases, mecanismos e processos",103
2025-06,534,Internet das coisas (IoT) aplicada para resolução de desafios,113
2025-06,536,Governança de Dados na Transformação Digital,44
2025-06,629,Aprendendo com Python,64
2025-06,724,Gestão de Riscos em Projetos de Transformação Digital,43
2025-06,787,Gestão de projetos,51
2025-06,797,Automação de Processos através da RPA para Transformação Digital,3424
2025-06,802,Visualização de Dados Aplicada à Transformação Digital,43
2025-06,810,Desvendando a Inteligência Artificial na Administração Pública,424
2025-06,815,Storytelling com Dados para Comunicação Profissional de Sucesso,123
2025-06,861,Inteligência Artificial para simplificar o dia a dia,290
2025-06,956,Inovando na Gestão de Projetos,72
2025-06,976,Introdução à Ciência de Dados - Conceitos e Ferramentas,73
2025-06,1073,Segurança Cibernética: Controles 1 a 6 do CIS Controls,55
2025-06,1088,A História da IA,351
2025-06,1090,Ética em IA,291
2025-06,1091,Inteligência Artificial Generativa,343
